datetime,obs_type,usage,temp
2020-08-08 08:01:52.436119,cooldown,0.5,39.166
2020-08-08 08:01:53.439110,cooldown,0.0,39.704
2020-08-08 08:01:54.441854,cooldown,0.0,39.704
2020-08-08 08:01:55.444642,cooldown,0.0,39.166
2020-08-08 08:01:56.447374,cooldown,0.0,39.704
2020-08-08 08:01:57.450146,cooldown,0.0,39.704
2020-08-08 08:01:58.452972,cooldown,0.0,39.166
2020-08-08 08:01:59.455847,cooldown,0.0,39.704
2020-08-08 08:02:00.458783,cooldown,0.5,39.166
2020-08-08 08:02:01.461745,cooldown,0.5,39.704
2020-08-08 08:02:02.464600,cooldown,0.0,39.704
2020-08-08 08:02:03.467399,cooldown,0.0,39.166
2020-08-08 08:02:04.470158,cooldown,0.0,39.166
2020-08-08 08:02:05.472910,cooldown,0.0,39.166
2020-08-08 08:02:06.475638,cooldown,0.0,38.628
2020-08-08 08:02:07.478518,cooldown,0.2,39.704
2020-08-08 08:02:08.481289,cooldown,0.2,38.628
2020-08-08 08:02:09.484173,cooldown,1.5,39.166
2020-08-08 08:02:10.487088,cooldown,0.2,39.166
2020-08-08 08:02:11.489941,cooldown,0.0,39.166
2020-08-08 08:02:12.492703,cooldown,0.0,39.704
2020-08-08 08:02:13.495462,cooldown,0.2,39.704
2020-08-08 08:02:14.498342,cooldown,0.2,39.704
2020-08-08 08:02:15.501121,cooldown,0.0,39.704
2020-08-08 08:02:16.503865,cooldown,0.0,39.166
2020-08-08 08:02:17.506662,cooldown,0.2,39.704
2020-08-08 08:02:18.509427,cooldown,0.0,39.166
2020-08-08 08:02:19.512211,cooldown,0.0,39.166
2020-08-08 08:02:20.515019,cooldown,0.0,39.166
2020-08-08 08:02:21.517765,cooldown,0.0,39.704
2020-08-08 08:02:22.520719,cooldown,0.0,39.166
2020-08-08 08:02:23.523543,cooldown,0.2,39.704
2020-08-08 08:02:24.526410,cooldown,0.2,39.166
2020-08-08 08:02:25.529252,cooldown,0.0,39.166
2020-08-08 08:02:26.532054,cooldown,0.0,39.166
2020-08-08 08:02:27.534805,cooldown,0.0,39.166
2020-08-08 08:02:28.537556,cooldown,0.0,39.166
2020-08-08 08:02:29.540351,cooldown,0.0,39.166
2020-08-08 08:02:30.543108,cooldown,0.0,39.704
2020-08-08 08:02:31.545914,cooldown,0.0,39.166
2020-08-08 08:02:32.548782,cooldown,0.5,39.166
2020-08-08 08:02:33.551547,cooldown,0.0,39.166
2020-08-08 08:02:34.554296,cooldown,0.0,39.704
2020-08-08 08:02:35.557089,cooldown,0.0,39.704
2020-08-08 08:02:36.559868,cooldown,0.0,39.166
2020-08-08 08:02:37.562595,cooldown,0.0,39.166
2020-08-08 08:02:38.565400,cooldown,0.2,39.704
2020-08-08 08:02:39.568394,cooldown,1.5,39.704
2020-08-08 08:02:40.571267,cooldown,0.0,39.166
2020-08-08 08:02:41.574057,cooldown,0.0,39.704
2020-08-08 08:02:42.576921,cooldown,0.2,39.166
2020-08-08 08:02:43.579713,cooldown,0.0,39.704
2020-08-08 08:02:44.582542,cooldown,0.0,39.166
2020-08-08 08:02:45.585316,cooldown,0.0,39.166
2020-08-08 08:02:46.588181,cooldown,0.2,39.166
2020-08-08 08:02:47.590969,cooldown,0.0,39.704
2020-08-08 08:02:48.593832,cooldown,0.0,39.704
2020-08-08 08:02:49.596817,cooldown,1.0,39.166
2020-08-08 08:02:50.599578,cooldown,0.0,39.166
2020-08-08 08:02:51.602398,cooldown,0.0,39.704
2020-08-08 08:02:51.603326,min,,38.628
2020-08-08 08:02:52.620508,warmup,97.1,42.932
2020-08-08 08:02:53.622742,warmup,100.0,44.546
2020-08-08 08:02:54.624893,warmup,100.0,45.084
2020-08-08 08:02:55.626763,warmup,100.0,46.16
2020-08-08 08:02:56.628838,warmup,100.0,47.236
2020-08-08 08:02:57.630913,warmup,100.0,47.236
2020-08-08 08:02:58.633009,warmup,100.0,47.774
2020-08-08 08:02:59.635139,warmup,100.0,48.312
2020-08-08 08:03:00.636729,warmup,100.0,48.312
2020-08-08 08:03:01.638896,warmup,100.0,49.388
2020-08-08 08:03:02.640982,warmup,100.0,49.388
2020-08-08 08:03:03.643087,warmup,100.0,49.926
2020-08-08 08:03:04.645138,warmup,100.0,50.464
2020-08-08 08:03:05.646738,warmup,100.0,50.464
2020-08-08 08:03:06.648787,warmup,100.0,50.464
2020-08-08 08:03:07.650863,warmup,100.0,51.002
